scale	1.25366	scale_fit_switch	1	gamma	0.2	gamma_fit_switch	1	sigma	600	sigma_fit_switch	1	substrate-B	1	substrate-B_fit_switch	0																														
AtomIndex	AtmNum	N	d	x	y	z	B	toccf	foccf	7dig_fit_switch	d-index	d-param	d-ratio	x-index	x-param	x-ratio	y-index	y-param	y-ratio	z-index	z-param	z-ratio	B-index	B-param	B-ratio	toccf-index	toccf-param	toccf-ratio	foccf-index	foccf-param	foccf-ratio	d-min	d-max	x-min	x-max	y-min	y-max	z-min	z-max	B-min	B-max	toccf-min	toccf-max	foccf-min	foccf-max
0	38	1	1	0	0	0	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	-0.2	0.2	0	5	0	1	0	1
1	57	1	1	0	0	0	0.4	1	0	0										0	3	1				0	5	1	0	6	-1	0.9	1.1	-1000	1000	-1000	1000	-0.2	0.2	0	5	0	1	0	1
2	22	1	1	0.5	0.5	0.5	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	0.3	0.7	0	5	0	1	0	1
3	13	1	1	0.5	0.5	0.5	0.4	1	0	0										2	3	1				2	5	1	2	6	-1	0.9	1.1	-1000	1000	-1000	1000	0.3	0.7	0	5	0	1	0	1
4	8	1	1	0.5	0.5	0	0.4	1	1	1000																0	5	1				0.9	1.1	-1000	1000	-1000	1000	-0.2	0.2	0	5	0	1	0	1
5	8	1	1	0	0.5	0.5	0.4	1	1	1000																2	5	1				0.9	1.1	-1000	1000	-1000	1000	0.3	0.7	0	5	0	1	0	1
6	8	1	1	0.5	0	0.5	0.4	1	1	0										5	3	1				2	5	1				0.9	1.1	-1000	1000	-1000	1000	0.3	0.7	0	5	0	1	0	1
7	38	1	1	0	0	1	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	0.8	1.2	0	5	0	1	0	1
8	57	1	1	0	0	1	0.4	1	0	0										7	3	1				7	5	1	7	6	-1	0.9	1.1	-1000	1000	-1000	1000	0.8	1.2	0	5	0	1	0	1
9	22	1	1	0.5	0.5	1.5	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	1.3	1.7	0	5	0	1	0	1
10	13	1	1	0.5	0.5	1.5	0.4	1	0	0										9	3	1				9	5	1	9	6	-1	0.9	1.1	-1000	1000	-1000	1000	1.3	1.7	0	5	0	1	0	1
11	8	1	1	0.5	0.5	1	0.4	1	1	1000																7	5	1				0.9	1.1	-1000	1000	-1000	1000	0.8	1.2	0	5	0	1	0	1
12	8	1	1	0	0.5	1.5	0.4	1	1	1000																9	5	1				0.9	1.1	-1000	1000	-1000	1000	1.3	1.7	0	5	0	1	0	1
13	8	1	1	0.5	0	1.5	0.4	1	1	0										12	3	1				9	5	1				0.9	1.1	-1000	1000	-1000	1000	1.3	1.7	0	5	0	1	0	1
14	38	1	1	0	0	2	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	1.8	2.2	0	5	0	1	0	1
15	57	1	1	0	0	2	0.4	1	0	0										14	3	1				14	5	1	14	6	-1	0.9	1.1	-1000	1000	-1000	1000	1.8	2.2	0	5	0	1	0	1
16	22	1	1	0.5	0.5	2.5	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	2.3	2.7	0	5	0	1	0	1
17	13	1	1	0.5	0.5	2.5	0.4	1	0	0										16	3	1				16	5	1	16	6	-1	0.9	1.1	-1000	1000	-1000	1000	2.3	2.7	0	5	0	1	0	1
18	8	1	1	0.5	0.5	2	0.4	1	1	1000																14	5	1				0.9	1.1	-1000	1000	-1000	1000	1.8	2.2	0	5	0	1	0	1
19	8	1	1	0	0.5	2.5	0.4	1	1	1000																16	5	1				0.9	1.1	-1000	1000	-1000	1000	2.3	2.7	0	5	0	1	0	1
20	8	1	1	0.5	0	2.5	0.4	1	1	0										19	3	1				16	5	1				0.9	1.1	-1000	1000	-1000	1000	2.3	2.7	0	5	0	1	0	1
21	38	1	1	0	0	3	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	2.8	3.2	0	5	0	1	0	1
22	57	1	1	0	0	3	0.4	1	0	0										21	3	1				21	5	1	21	6	-1	0.9	1.1	-1000	1000	-1000	1000	2.8	3.2	0	5	0	1	0	1
23	22	1	1	0.5	0.5	3.5	0.4	1	1	1000																						0.9	1.1	-1000	1000	-1000	1000	3.3	3.7	0	5	0	1	0	1
24	13	1	1	0.5	0.5	3.5	0.4	1	0	0										23	3	1				23	5	1	23	6	-1	0.9	1.1	-1000	1000	-1000	1000	3.3	3.7	0	5	0	1	0	1
25	8	1	1	0.5	0.5	3	0.4	1	1	1000																21	5	1				0.9	1.1	-1000	1000	-1000	1000	2.8	3.2	0	5	0	1	0	1
26	8	1	1	0	0.5	3.5	0.4	1	1	1000																23	5	1				0.9	1.1	-1000	1000	-1000	1000	3.3	3.7	0	5	0	1	0	1
27	8	1	1	0.5	0	3.5	0.4	1	1	0										26	3	1				23	5	1				0.9	1.1	-1000	1000	-1000	1000	3.3	3.7	0	5	0	1	0	1
28	38	1	1	0	0	4	0.4	1	1	1001																						0.9	1.1	-1000	1000	-1000	1000	3.8	4.2	0	5	0	1	0	1
29	57	1	1	0	0	4	0.4	1	0	0										28	3	1				28	5	1	28	6	-1	0.9	1.1	-1000	1000	-1000	1000	3.8	4.2	0	5	0	1	0	1
30	22	1	1	0.5	0.5	4.5	0.4	1	1	1001																						0.9	1.1	-1000	1000	-1000	1000	4.3	4.7	0	5	0	1	0	1
31	13	1	1	0.5	0.5	4.5	0.4	1	0	0										30	3	1				30	5	1	30	6	-1	0.9	1.1	-1000	1000	-1000	1000	4.3	4.7	0	5	0	1	0	1
32	8	1	1	0.5	0.5	4	0.4	1	1	1000																28	5	1				0.9	1.1	-1000	1000	-1000	1000	3.8	4.2	0	5	0	1	0	1
33	8	1	1	0	0.5	4.5	0.4	1	1	1000																30	5	1				0.9	1.1	-1000	1000	-1000	1000	4.3	4.7	0	5	0	1	0	1
34	8	1	1	0.5	0	4.5	0.4	1	1	0										33	3	1				30	5	1				0.9	1.1	-1000	1000	-1000	1000	4.3	4.7	0	5	0	1	0	1
35	38	1	1	0	0	5	0.4	1	1	1001																						0.9	1.1	-1000	1000	-1000	1000	4.8	5.2	0	5	0	1	0	1
36	57	1	1	0	0	5	0.4	1	0	0										35	3	1				35	5	1	35	6	-1	0.9	1.1	-1000	1000	-1000	1000	4.8	5.2	0	5	0	1	0	1
37	22	1	1	0.5	0.5	5.5	0.4	1	1	1001																						0.9	1.1	-1000	1000	-1000	1000	5.3	5.7	0	5	0	1	0	1
38	13	1	1	0.5	0.5	5.5	0.4	1	0	0										37	3	1				37	5	1	37	6	-1	0.9	1.1	-1000	1000	-1000	1000	5.3	5.7	0	5	0	1	0	1
39	8	1	1	0.5	0.5	5	0.4	1	1	1000																35	5	1				0.9	1.1	-1000	1000	-1000	1000	4.8	5.2	0	5	0	1	0	1
40	8	1	1	0	0.5	5.5	0.4	1	1	1000																37	5	1				0.9	1.1	-1000	1000	-1000	1000	5.3	5.7	0	5	0	1	0	1
41	8	1	1	0.5	0	5.5	0.4	1	1	0										40	3	1				37	5	1				0.9	1.1	-1000	1000	-1000	1000	5.3	5.7	0	5	0	1	0	1
42	38	1	1	0	0	6	0.4	1	0	1001																						0.9	1.1	-1000	1000	-1000	1000	5.8	6.2	0	5	0	1	0	1
43	57	1	1	0	0	6	0.4	1	1	0										42	3	1				42	5	1	42	6	-1	0.9	1.1	-1000	1000	-1000	1000	5.8	6.2	0	5	0	1	0	1
44	22	1	1	0.5	0.5	6.5	0.4	1	0	1001																						0.9	1.1	-1000	1000	-1000	1000	6.3	6.7	0	5	0	1	0	1
45	13	1	1	0.5	0.5	6.5	0.4	1	1	0										44	3	1				44	5	1	44	6	-1	0.9	1.1	-1000	1000	-1000	1000	6.3	6.7	0	5	0	1	0	1
46	8	1	1	0.5	0.5	6	0.4	1	1	1000																42	5	1				0.9	1.1	-1000	1000	-1000	1000	5.8	6.2	0	5	0	1	0	1
47	8	1	1	0	0.5	6.5	0.4	1	1	1000																44	5	1				0.9	1.1	-1000	1000	-1000	1000	6.3	6.7	0	5	0	1	0	1
48	8	1	1	0.5	0	6.5	0.4	1	1	0										47	3	1				44	5	1				0.9	1.1	-1000	1000	-1000	1000	6.3	6.7	0	5	0	1	0	1
49	38	1	1	0	0	7	0.4	1	0	1001																						0.9	1.1	-1000	1000	-1000	1000	6.8	7.2	0	5	0	1	0	1
50	57	1	1	0	0	7	0.4	1	1	0										49	3	1				49	5	1	49	6	-1	0.9	1.1	-1000	1000	-1000	1000	6.8	7.2	0	5	0	1	0	1
51	22	1	1	0.5	0.5	7.5	0.4	1	0	1001																						0.9	1.1	-1000	1000	-1000	1000	7.3	7.7	0	5	0	1	0	1
52	13	1	1	0.5	0.5	7.5	0.4	1	1	0										51	3	1				51	5	1	51	6	-1	0.9	1.1	-1000	1000	-1000	1000	7.3	7.7	0	5	0	1	0	1
53	8	1	1	0.5	0.5	7	0.4	1	1	1000																49	5	1				0.9	1.1	-1000	1000	-1000	1000	6.8	7.2	0	5	0	1	0	1
54	8	1	1	0	0.5	7.5	0.4	1	1	1000																51	5	1				0.9	1.1	-1000	1000	-1000	1000	7.3	7.7	0	5	0	1	0	1
55	8	1	1	0.5	0	7.5	0.4	1	1	0										54	3	1				51	5	1				0.9	1.1	-1000	1000	-1000	1000	7.3	7.7	0	5	0	1	0	1
56	38	1	1	0	0	8	0.4	1	0	1000																						0.9	1.1	-1000	1000	-1000	1000	7.8	8.2	0	5	0	1	0	1
